episode,reward
1,500.0
2,500.0
3,500.0
4,488.0
5,500.0
6,455.0
7,500.0
8,500.0
9,384.0
10,500.0
11,500.0
12,500.0
13,500.0
14,500.0
15,500.0
16,500.0
17,410.0
18,500.0
19,500.0
20,500.0
21,500.0
22,492.0
23,461.0
24,500.0
25,500.0
26,437.0
27,500.0
28,496.0
29,500.0
30,500.0
31,500.0
32,500.0
33,500.0
34,500.0
35,500.0
36,500.0
37,491.0
38,500.0
39,474.0
40,500.0
41,500.0
42,447.0
43,500.0
44,500.0
45,500.0
46,500.0
47,439.0
48,500.0
49,500.0
50,500.0
51,500.0
52,500.0
53,500.0
54,500.0
55,499.0
56,500.0
57,483.0
58,500.0
59,500.0
60,500.0
61,457.0
62,467.0
63,500.0
64,500.0
65,491.0
66,500.0
67,500.0
68,500.0
69,500.0
70,500.0
71,500.0
72,477.0
73,455.0
74,500.0
75,500.0
76,500.0
77,500.0
78,500.0
79,500.0
80,500.0
81,500.0
82,497.0
83,500.0
84,500.0
85,500.0
86,500.0
87,500.0
88,483.0
89,500.0
90,500.0
91,431.0
92,500.0
93,500.0
94,500.0
95,479.0
96,500.0
97,434.0
98,399.0
99,500.0
100,500.0

average_reward,490.26
minimum_reward,384.0
maximum_reward,500.0
