episode,reward,average_reward,average_loss,epsilon,buffer_size,evaluation_reward
1,13.0,13.0,0.0,0.995,13,
2,23.0,18.0,0.0,0.990025,36,
3,16.0,17.333333333333332,0.0,0.985074875,52,
4,12.0,16.0,0.0,0.9801495006250001,64,
5,11.0,15.0,0.0,0.9752487531218751,75,
6,8.0,13.833333333333334,0.0,0.9703725093562657,83,
7,22.0,15.0,0.0,0.9655206468094844,105,
8,19.0,15.5,0.0,0.960693043575437,124,
9,23.0,16.333333333333332,0.0,0.9558895783575597,147,
10,34.0,18.1,0.0,0.9511101304657719,181,
11,13.0,17.636363636363637,0.0,0.946354579813443,194,
12,24.0,18.166666666666668,0.0,0.9416228069143757,218,
13,18.0,18.153846153846153,0.0,0.9369146928798039,236,
14,11.0,17.642857142857142,0.0,0.9322301194154049,247,
15,19.0,17.733333333333334,0.0,0.9275689688183278,266,
16,11.0,17.3125,0.0,0.9229311239742362,277,
17,13.0,17.058823529411764,0.0,0.918316468354365,290,
18,22.0,17.333333333333332,0.0,0.9137248860125932,312,
19,38.0,18.42105263157895,0.0,0.9091562615825302,350,
20,20.0,18.5,0.0,0.9046104802746175,370,
21,23.0,18.714285714285715,0.0,0.9000874278732445,393,
22,35.0,19.454545454545453,0.0,0.8955869907338783,428,
23,21.0,19.52173913043478,0.0,0.8911090557802088,449,
24,16.0,19.375,0.0,0.8866535105013078,465,
25,20.0,19.4,0.0,0.8822202429488013,485,10.0
26,18.0,19.346153846153847,0.0,0.8778091417340573,503,
27,34.0,19.88888888888889,0.0,0.8734200960253871,537,
28,14.0,19.678571428571427,0.0,0.8690529955452602,551,
29,19.0,19.655172413793103,0.0,0.8647077305675338,570,
30,15.0,19.5,0.0,0.8603841919146962,585,
31,15.0,19.35483870967742,0.0,0.8560822709551227,600,
32,29.0,19.65625,0.0,0.851801859600347,629,
33,17.0,19.575757575757574,0.0,0.8475428503023453,646,
34,40.0,20.176470588235293,0.0,0.8433051360508336,686,
35,11.0,19.914285714285715,0.0,0.8390886103705794,697,
36,11.0,19.666666666666668,0.0,0.8348931673187264,708,
37,29.0,19.91891891891892,0.0,0.8307187014821328,737,
38,26.0,20.07894736842105,0.0,0.8265651079747222,763,
39,16.0,19.974358974358974,0.0,0.8224322824348486,779,
40,21.0,20.0,0.0,0.8183201210226743,800,
41,45.0,20.609756097560975,0.0,0.8142285204175609,845,
42,19.0,20.571428571428573,0.0,0.810157377815473,864,
43,23.0,20.627906976744185,0.0,0.8061065909263957,887,
44,20.0,20.613636363636363,0.0,0.8020760579717637,907,
45,15.0,20.488888888888887,0.0,0.798065677681905,922,
46,14.0,20.347826086956523,0.0,0.7940753492934954,936,
47,77.0,21.5531914893617,0.6386840865015984,0.7901049725470279,1013,
48,22.0,21.5625,0.0924843977290121,0.7861544476842928,1035,
49,11.0,21.346938775510203,0.7080270783467726,0.7822236754458713,1046,
50,9.0,21.1,0.2276684283796284,0.778312557068642,1055,9.1
51,18.0,21.03921568627451,0.10445698164403439,0.7744209942832988,1073,
52,11.0,20.846153846153847,0.6647279519926418,0.7705488893118823,1084,
53,16.0,20.754716981132077,0.3141733491793275,0.7666961448653229,1100,
54,11.0,20.574074074074073,0.26941217617555097,0.7628626641409962,1111,
